IR_ID,ID,Citation,Title,Journal,Issue,Year
16,3,"Cable, J.M., G.A. Barron-Gafford, K. Ogle, T.E. Huxman, M.A. Pavao-Zuckerman, R.L. Scott, and D.G. Williams. ""Woody plant encroachment alters sensitivity of soil respiration to variation in temperature and moisture,"" JGR Biogeosciences, v.117, 2012. doi:10.1029/2011JG001757",Woody plant encroachment alters sensitivity of soil respiration to variation in temperature and moisture,JGR Biogeosciences,,
17,3,"de Gouvello, B., C.A. Scott. ""Has Water Privatization Peaked? The Future of Public Water Governance,"" Water International, v.37, 2012, p. 87. doi:10.1080/02508060.2012.663614",Has Water Privatization Peaked? The Future of Public Water Governance,Water International,,
18,3,"Halper, E., C.A. Scott, S. Yool. ""Correlating vegetation, water use and surface temperature in a semi-arid city: A multi-scale analysis of the impacts of irrigation by single-family residences,"" Geographical Analysis, v.44, 2012, p. 235. doi:10.1111/j.1538-4632.2012.00846.x","Correlating vegetation, water use and surface temperature in a semi-arid city: A multi-scale analysis of the impacts of irrigation by single-family residences",Geographical Analysis,,
19,3,"House-Peters, L. and H. Chang. ""Urban water demand modeling: review of concepts, methods, and organizing principles,"" Water Resources Research, v.47, 2011.","Urban water demand modeling: review of concepts, methods, and organizing principles",Water Resources Research,,
20,3,"House-Peters, L. and H. Chang. ""Modeling the impact of land use and climate change on neighborhood-scale evaporation and nighttime cooling: A surface energy balance approach,"" Landscape and Urban Planning, v.103, 2011, p. 139.",Modeling the impact of land use and climate change on neighborhood-scale evaporation and nighttime cooling: A surface energy balance approach,Landscape and Urban Planning,,
21,3,"Lutz, A.N. and A. Salazar Adams. ""Evolucion y perfiles de eficiencia de los organismos operadores de agua potable en Mexico,"" Estudios demogrÃ¡ficos y urbanos, v.26, 2011, p. 563.",Evolucion y perfiles de eficiencia de los organismos operadores de agua potable en Mexico,Estudios demogrÃ¡ficos y urbanos,,
22,3,"Salazar Adams, A., J.L. Moreno, and A.N. Lutz Ley. ""Agricultura y manejo sustentable del acuÃ­fero de la Costa de Hermosillo,"" Region y Sociedad, v.3, 2012, p. 155.",Agricultura y manejo sustentable del acuÃ­fero de la Costa de Hermosillo,Region y Sociedad,,
23,3,"Scott, C.A., N. Pineda Pablos. ""Innovating resource regimes: water, wastewater, and the institutional dynamics of urban hydraulic reach in northwest Mexico,"" Geoforum, v.42, 2011, p. 439. doi:10.1016/j.geoforum.2011.02.003","Innovating resource regimes: water, wastewater, and the institutional dynamics of urban hydraulic reach in northwest Mexico",Geoforum,,
24,3,"Scott, C.A., R.G. Varady, F. Meza, E. MontaÃ±a, G.B. de Raga, B. Luckman, C. Martius. ""Science-policy dialogues for water security: addressing vulnerability and adaptation to global change in the arid Americas,"" Environment, v.54, 2012, p. 30.",Science-policy dialogues for water security: addressing vulnerability and adaptation to global change in the arid Americas,Environment,,
25,3,"Scott, C.A., S. Dallâ??erba, R. DÃ­az-Caravantes. ""Groundwater rights in Mexican agriculture: spatial distribution and demographic determinants,"" Professional Geographer, v.62, 2010, p. 1.",Groundwater rights in Mexican agriculture: spatial distribution and demographic determinants,Professional Geographer,,
26,3,"Scott, C.A., S.A. Pierce, M.J. Pasqualetti, A.L. Jones, B.E. Montz, J.H. Hoover. ""Policy and institutional dimensions of the water-energy nexus,"" Energy Policy, v.39, 2011, p. 6622. doi:10.1016/j.enpol.2011.08.013",Policy and institutional dimensions of the water-energy nexus,Energy Policy,,
27,3,"Simpson, S.C. and T. Meixner. ""Modeling effects of floods on streambed hydraulic conductivity and groundwater-surface water interactions,"" Water Resources Research, v.48, 2012. doi:10.1029/2011WR011022",Modeling effects of floods on streambed hydraulic conductivity and groundwater-surface water interactions,Water Resources Research,,
28,3,"Simpson, S. C., and T. Meixner. ""The influence of local hydrogeologic forcings on near-stream event water recharge and retention,"" Hydrological Processes, 2012. doi:10.1002/hyp.8411",The influence of local hydrogeologic forcings on near-stream event water recharge and retention,Hydrological Processes,,
29,3,"Scott, CA, and S. Buechler. ""Environmental and Social Change in the U.S. Mexico Borderlands: Climate, Water, and Demographic Futures.,"" Ecosphere, v.4, 2013.","Environmental and Social Change in the U.S. Mexico Borderlands: Climate, Water, and Demographic Futures",Ecosphere,,
30,3,"A.N. Lutz A.S. Adams. ""An Empirical Study of Factors Affecting Water Loss in Mexican Citie,"" Journal of Water Sustainability, v.2, 2012, p. 167.",An Empirical Study of Factors Affecting Water Loss in Mexican Cities,Journal of Water Sustainability,,2013
31,3,"Scott, C.A., F.J. Meza, R.G. Varady, H. Tiessen, J. McEvoy, G.M. Garfin, M. Wilder, L.M. Farfán, N. Pineda Pablos, E. Montaña.. ""Water security and adaptive management in the arid Americas.,"" Annals of the Association of American Geographer, v.103, 2013, p. 280.",Water security and adaptive management in the arid Americas,Annals of the Association of American Geographer,,
32,3,"Setala, H., Bardgett, R., Birkhofer, K, Brady, M., Byrne, L., de Ruiter, PC, de Vries, F., Gardi, C., Hedlund, K., Hemerik, L., Hotes, S., Liiri, M., Mortimer, S.R., M.A. Pavao-Zuckerman, R. Pouyat, Tsiafouli, M., van der Putten, W.. ""Urban soils and agricultural soils: conflicts and trade-offs in the optimization of ecosystem services.,"" Urban Ecosystems, 2013. doi:10.1007/s11252-013-0311-6",Urban soils and agricultural soils: conflicts and trade-offs in the optimization of ecosystem services,Urban Ecosystems,,
33,3,"Pavao-Zuckerman, M.A. Sookhdeo, C.. ""The incorporation of soil ecological knowledge in green infrastructure design promotes soil food web structure and nutrient retention,"" Ecological Engineering, 2014.",The incorporation of soil ecological knowledge in green infrastructure design promotes soil food web structure and nutrient retention,Ecological Engineering,,
34,3,"Sivapalan, M., M. Konar, V. Srinivasan, A. Chhatre, A. Wutich, C.A. Scott, J. L. Wescoat, I. Rodríguez-Iturbe.. ""Socio-hydrology: use-inspired water sustainability science for the Anthropocene.,"" Earth?s Future., v.2, 2014, p. 1. doi:10.1002/2013EF000164",Socio-hydrology: use-inspired water sustainability science for the Anthropocene,Earth's Future,,2014
35,3,"Norman, L. M., Villarreal, M. L., Niraula, R., Meixner, T., Frisvold, G., & Labiosa, W.. ""Framing Scenarios of Binational Water Policy with a Tool to Visualize, Quantify and Valuate Changes in Ecosystem Services.,"" Water, v.5, 2013, p. 852.","Framing Scenarios of Binational Water Policy with a Tool to Visualize, Quantify and Valuate Changes in Ecosystem Services",Water,,
36,3,"Pineda Pablos, Nicolás, José Luis Moreno, Alejandro Salazar Adams, and América N. Lutz Ley. ""Derechos de Agua y Gestión por Cuencas en México. El caso del río Sonora,"" Revista Espiral. Estudios sobre Estado y Sociedad, v.61, 2014, p. 191.",Derechos de Agua y Gestión por Cuencas en México. El caso del río Sonora,Estudios sobre Estado y Sociedad,61,2014
37,3,"Varady, R.G., van Weert, F., Megdal, S.B., Gerlak, A., Iskandar, C.A., and House-Peters, L. ""Groundwater Governance: A Global Framework for Country Action,"" FAO/Global Environment Facility., v.5, 2013.",Groundwater Governance: A Global Framework for Country Action,FAO/Global Environment Facility,,
38,3,"Andersen, S.M., C.A. Scott. ""Nexo Água e Energia nas Américas (Water-Energy Nexus in the Americas),"" Desenvolvimento e Meio Ambiente (Development and Environment, 2014, p. 30.",Nexo Água e Energia nas Américas (Water-Energy Nexus in the Americas),Desenvolvimento e Meio Ambiente,,
39,3,"Scott, C.A.. ""Eletricidade para o bombeamento de água subterrânea: limitações e oportunidades para respostas adaptativas às mudanças climáticas,"" Desenvolvimento e Meio Ambiente, 2014.",Eletricidade para o bombeamento de água subterrânea: limitações e oportunidades para respostas adaptativas às mudanças climáticas,Desenvolvimento e Meio Ambiente,,2014
40,3,"Halper, E., S. Dall?erba, R. Bark, C.A. Scott, S. Yool. ""Effects of irrigated parks on outdoor residential water use in a semi-arid city.,"" Landscape and Urban Planning., 2014.",Effects of irrigated parks on outdoor residential water use in a semi-arid city,Landscape and Urban Planning,,2014
41,3,"Ribeiro Neto, A., C.A. Scott, E. de Araújo Lima, S.M.G.L. Montenegro, J.A. Cirilo.. ""Infrastructure sufficiency in meeting water demand under climate-induced socio-hydrological transition in the urbanizing Capibaribe River Basin ? Brazil,"" Hydrology & Earth System Sciences, v.18, 2014, p. 3449. doi:10.5194/hess-18-3449-2014",Infrastructure sufficiency in meeting water demand under climate-induced socio-hydrological transition in the urbanizing Capibaribe River Basin - Brazil,Hydrology & Earth System Sciences,18,2014
42,3,"Scott, C.A., S. Vicuña, I. Blanco-Gutiérrez, F. Meza, C. Varela-Ortega. ""Irrigation efficiency and water-policy implications for river-basin resilience,"" Hydrology and Earth System Sciences, v.18, 2014, p. 1339. doi:10.5194/hess-18-1339-2014",Irrigation efficiency and water-policy implications for river-basin resilience,Hydrology & Earth System Sciences,18,2014
43,3,"Scott, C.A.. ""Electricity for groundwater use: constraints and opportunities for adaptive response to climate change,"" Environmental Research Letters, v.8, 2013.",Electricity for groundwater use: constraints and opportunities for adaptive response to climate change,Environmental Research Letters,8,2013
44,3,"Vieira, R., C. Tucci, C.A. Scott. ""Water and Climate Modeling in Large Basins,"" Associação Brasileira de Recursos Hídricos, Brazil, v.2, 2013, p. 148.",Water and Climate Modeling in Large Basins,"Associação Brasileira de Recursos Hídricos, Brazil",2,2013
45,3,"Pope, A.J. and R. Gimblett.. ""Linking Bayesian and agent-based models to simulate complex social-ecological systems in semi-arid regions.,"" Frontiers in Environmental Sciences, 2015. doi:10.3389/fenvs.2015.00055",Linking Bayesian and agent-based models to simulate complex social-ecological systems in semi-arid regions,Frontiers in Environmental Sciences,,2015
46,3,"Salazar Adams, Alejandro, and América N. Lutz Ley. ""Factores asociados al desempeño en organismos operadores de agua potable en México,"" Región y sociedad, 2015.",Factores asociados al desempeño en organismos operadores de agua potable en México,Región y sociedad,,2015
47,3,"Scott, C.A., Z.P. Sugg. ""Global energy development and climate-induced water scarcity ? Physical limits, sectoral constraints, and policy imperatives,"" Energies, 2015. doi:10.3390/en8088211","Global energy development and climate-induced water scarcity - Physical limits, sectoral constraints, and policy imperatives",Energies,,2015
48,3,"Troy, T.J., M.A. Pavao-Zuckerman, and T.P. Evans. ""Debates ? Perspectives on socio-hydrology: Socio-hydrologic modeling: Tradeoffs, hypothesis testing, and validation,"" Water Resources Research, 2015. doi:10.1002/2015WR017046","Debates ? Perspectives on socio-hydrology: Socio-hydrologic modeling: Tradeoffs, hypothesis testing, and validation",Water Resources Research,,2015
49,3,"Pallanez, Maribel y José Luis Moreno.. ""?Conflicto socioambiental entre el gobierno y los mineros. La historia de un Área Natural Protegida en el Norte de México?,"" Región y sociedad, núm. 66, mayo-agosto, 2016.",Conflicto socioambiental entre el gobierno y los mineros. La historia de un Área Natural Protegida en el Norte de México,Región y sociedad,66,2016
50,3,"Pasqualetti, M.J., T.E. Jones, L. Necefer, C.A. Scott, B.J. Colombi.. ""A paradox of plenty: Renewable energy on Navajo Nation lands.,"" Society and Natural Resources., 2016.",A paradox of plenty: Renewable energy on Navajo Nation lands,Society and Natural Resources,,2016
51,3,"Zeitoun, M., B. Lankford, T. Krueger, T. Forsyth, R. Carter, A.Y. Hoekstra, R. Taylor, O. Varis, F. Cleaver, R. Boelens, L. Swatuk, D. Tickner, C.A. Scott, N. Mirumachi, N. Matthews.. ""Reductionist and integrative research approaches to complex water security policy challenges.,"" Global Environmental Change, 2016.",Reductionist and integrative research approaches to complex water security policy challenges,Global Environmental Change,,2016
52,3,"Wilder, M.O., I. Aguilar-Barajas, N. Pineda-Pablos, R.G. Varady, S.B. Megdal, J. McEvoy, R. Merideth, A.A. Zuniga-Teran, C.A. Scott.. ""Desalination and water security in the U.S.-Mexico border region: A framework to assess the social, environmental, and political impacts,"" Water International, 2016.","Desalination and water security in the U.S.-Mexico border region: A framework to assess the social, environmental, and political impacts",Water International,,2016
53,3,"Buechler, Stephanie. ""Gendered Vulnerabilities and Grassroots Adaptation Initiatives in Home Gardens and Small Orchards in Northwest Mexico,"" Ambio a Journal of the Human Environment, v.45, 2016, p. 322-334.",Gendered Vulnerabilities and Grassroots Adaptation Initiatives in Home Gardens and Small Orchards in Northwest Mexico, Ambio a Journal of the Human Environment,45,2016
54,3,"de Grenade, R., J. Rudow, R. Taboada, M.E. Adauto, C.A. Scott, B. Willems, J. de La Rosa, R.G. Varady.. ""Anticipatory capacity, food security, and global change across an extreme elevation gradient in the Ica Basin, Peru,"" Regional Environmental Change, 2016.","Anticipatory capacity, food security, and global change across an extreme elevation gradient in the Ica Basin, Peru",Regional Environmental Change,,2016
55,3,"de Grenade, R., L. House-Peters, C.A. Scott, B. Thapa, M. Mills-Novoa, A. Gerlak, K. Verbist. ""The nexus: Reconsidering environmental security and adaptive capacity,"" Current Opinion in Environmental Sustainability., 2016.",The nexus: Reconsidering environmental security and adaptive capacity,Current Opinion in Environmental Sustainability,,2016
56,3,"Garfin, G.M., C.A. Scott, R.G. Varady, M. Wilder, M.C. Lemos, C. Kirchhoff, A. Gerlak. ""The potential of metrics for assessing adaptive capacity and water security,"" Current Opinion in Environmental Sustainability, 2017.",The potential of metrics for assessing adaptive capacity and water security,Current Opinion in Environmental Sustainability,,2017
57,3,"Gimblett, H.R., C.A. Scott, M.A. Hammersley. ""Freeing the White Salmon River: Dam removal, climate change, fish and rafting,"" International Journal of Wilderness, 2017.","Freeing the White Salmon River: Dam removal, climate change, fish and rafting",International Journal of Wilderness,,2017
58,3,"Iniesta-Arandia, I., Ravera, F., Buechler, Stephanie, Díaz-Reviriego, I., Fernández-Giménez, M.E., Reed, M.G., Thompson-Hall, M., Wilmer, H., Aregu, L., Cohen, P. and Djoudi, H.. ""A synthesis of convergent reflections, tensions and silences in linking gender and global environmental change research,"" Ambio a Journal of the Human Environment, v.45, 2016, p. 383-393.","A synthesis of convergent reflections, tensions and silences in linking gender and global environmental change research", Ambio a Journal of the Human Environment,45,2016
59,3,"Lall, U., J. Davis, C.A. Scott, B. Merz, J. Lundqvist. ""Pursuing water security (editorial for inaugural issue),"" Water Security, v.1, 2017, p. 1. doi:10.1016/j.wasec.2017.07.002",Pursuing water security,Water Security,1,2017
60,3,"Mills-Novoa, M., A.B. Crootof, S. Borgias, B. Thapa, R. de Grenade, C.A. Scott. ""Bringing the hydro-social cycle into climate change adaptation planning: Lessons from the Andean mountain water towers.,"" . Annals of the Association of American Geographers, 2016.",Bringing the hydro-social cycle into climate change adaptation planning: Lessons from the Andean mountain water towers,Annals of the Association of American Geographers,,2016
61,3,"Navarro-Navarro, L.A., J.L. Moreno-Vazquez, C.A. Scott. ""Social networks for adaptive management of water scarcity: Evidence from the San Miguel watershed, Sonora, Mexico,"" Water Alternatives, 2017.","Social networks for adaptive management of water scarcity: Evidence from the San Miguel watershed, Sonora, Mexico",Water Alternatives,,2017
62,3,"Petrakis, R.E., W.J.D. van Leeuwen, M.L. Villarreal, P. Tashjian, R. Dello Russo, C.A. Scott. ""Multi-source remote sensing to monitor river management impacts on riparian vegetation along the Rio Grande,"" River Research and Applications, 2017.",Multi-source remote sensing to monitor river management impacts on riparian vegetation along the Rio Grande,River Research and Applications,,2017
63,3,"Wilder, M.O., I. Aguilar-Barajas, N. Pineda-Pablos, R.G. Varady, S.B. Megdal, J. McEvoy, R. Merideth, A.A. Zuniga-Teran, C.A. Scott. ""Desalination and water security in the US?Mexico border region: assessing the social, environmental and political impacts.,"" Water International, v.41, 2016, p. 756. doi:10.1080/02508060.2016.1166416","Desalination and water security in the US-Mexico border region: assessing the social, environmental and political impacts",Water International,41,2016
64,5,"Levin, B.V., Kaistrenko, B.M., Rybin, A.B., Nosov, M.A., Pinegina, T.K., Razhigaeva, N.G., Sassorova, E.V., Ganzei, K.S., Ivelskaya, T.N., Kravchenovskaya, E.A., Kolesov, C.V., Evdokimov, Y.V., Bourgeois, J., MacInnes, B., and Fitzhugh, B.. ""Manifestations of the Tsunami on November 15, 2006, on the Central Kuril Islands: Results of the Modeling of Run-Up Heights,"" Doklady Earth Sciences, v.419, 2008, p. 335.","Manifestations of the Tsunami on November 15, 2006, on the Central Kuril Islands: Results of the Modeling of Run-Up Heights,",Doklady Earth Sciences,419,2008
65,5,"MacInnes, B, Pinegina, T, Bourgeois, J, Razhigaeva, N., Kaistrenko, V., and Kravchunovskaya, E A. ""Field survey and geological effects of the 15 November 2006 Kuril tsunami in the middle Kuril Islands,"" Pure and Applied Geophysics, v.166, 2009, p. 9. doi:10.1007/s00024-008-0428-3","Field survey and geological effects of the 15 November 2006 Kuril tsunami in the middle Kuril Islands,",Pure and Applied Geophysics,166,2009
66,5,"S. Colby Phillips; Robert J. Speakman. ""Initial source evaluation of archaeological obsidian from the Kuril Islands of the Russian Far East using portable XRF,"" Journal of Archaeological Science, v.36, 2009, p. 1256. doi:10.1016/j.jas.2009.01.014","Initial source evaluation of archaeological obsidian from the Kuril Islands of the Russian Far East using portable XRF,",Journal of Archaeological Science,36,2009
67,5,"Ganzey K.S.,. ""organization of the Ketoy and Rasshya Islands (Middle Kurile Islands) // Geographical and eco-geology investigations on the Far East.,"" Dalnayka, v.4, 2008.","organization of the Ketoy and Rasshya Islands (Middle Kurile Islands) // Geographical and eco-geology investigations on the Far East.,",Dalnayka,4,2008
68,5,"Ganzey K.S. ""The geosystems of the Southern and Middle Kurile Islands,"" Geography and Natural Resources., v.3, 2008, p. 251.","The geosystems of the Southern and Middle Kurile Islands,",Geography and Natural Resources,3,2008
69,5,"Grebennikova T.A.,. ""Diatom algal of different types of fresh-water Kurile Islands,"" News of Paleontology and Stratigraphy, v.iss. 10, 2008.","Diatom algal of different types of fresh-water Kurile Islands,",News of Paleontology and Stratigraphy,10,2008
70,5,"Grebennikova T.A. ""Composition and ecological characteristics of diatom flora of calder lakes of Kurile Islands,"" Polynology: Stratigraphy and Geoecology. Collection of the Sciences Works of XII All-Russian Polynological conference, v.1, 2008, p. 197.","Composition and ecological characteristics of diatom flora of calder lakes of Kurile Islands,",Polynology: Stratigraphy and Geoecology,1,2008
71,5,"Bourgeois, J. and MacInnes, B,. ""Tsunami boulder transport and other dramatic effects of the 15 November 2006 central Kuril Islands tsunami on the island of Matua,"" Zeitschrift fÃ¼r Geomorphologie, v.54, s.3, 2009, p. 175.","Tsunami boulder transport and other dramatic effects of the 15 November 2006 central Kuril Islands tsunami on the island of Matua,",Zeitschrift für Geomorphologie,54,2009
72,5,"Cherepanova, M.V., Lozhkin, A.V., and Anderson, P.M. ""Diatoms from Kuril lake sediments as high-resolution data for Pleistocene paleogeographic reconstruction,"" : Environment Development of East Asian Pleistocene-Holocene (boundaries, factors, stages of human mastering), Proceedings of Inernational Scientific Conference, September 14-18, 2009,, 2009.","Diatoms from Kuril lake sediments as high-resolution data for Pleistocene paleogeographic reconstruction,","Environment Development of East Asian Pleistocene-Holocene (boundaries, factors, stages of human mastering), Proceedings of Inernational Scientific Conference",,2009
73,5,"Lozhkin, A.V., Anderson, P.M., Goryachev, N.A., Miinyuk, P.S., Pakhomov, A.Yu., Solomatkina, T.B., and Cherepanova, M.V.,. ""First lake record of Holocene climate and vegetation change of the northern Kuril Islands.,"" Doklady Earth Sciences, v.430(4), 2010, p. 541.","First lake record of Holocene climate and vegetation change of the northern Kuril Islands.,",Doklady Earth Sciences,430(4),2010
74,5,"MacInnes, B.T., Bourgeois, J., Pinegina, T.K. & Kravchunovskaya, E.A.,. ""Tsunami geomorphology: erosion and deposition from the 15 November 2006 Kuril Island tsunami,"" Geology, v.37, 2009, p. 995.","Tsunami geomorphology: erosion and deposition from the 15 November 2006 Kuril Island tsunami,",Geology,37,2009
75,5,"MacInnes, B.T., Robert Weiss, Joanne Bourgeois, and Tatiana K. Pinegina. ""Slip distribution of the 1952 Kamchatka great earthquake based on near-field tsunami deposits and historical records,"" Bulletin of the Seismological Society of America, v.100, 2010, p. 1695.","Slip distribution of the 1952 Kamchatka great earthquake based on near-field tsunami deposits and historical records,",Bulletin of the Seismological Society of America,100,2010
76,5,"Ganzey, K.. ""Landscape typology of the Kurile Islands,"" Bulletin of the FEB RAS, 2009.","Landscape typology of the Kurile Islands,",Bulletin of the FEB RAS,,2009
77,5,"Ganzei, K.S., Razzhigayeva N.G., Rybin A.V.. ""Landscape structure change of Matua Island in the latter half of the 20th â?? beginning of the 21st centuries (Kuril Archipelago).,"" Geography and Natural Resources, v.3, 2010, p. 257.","Landscape structure change of Matua Island in the latter half of the 20th â?? beginning of the 21st centuries (Kuril Archipelago).,",Bulletin of the FEB RAS,3,2010
78,5,"Kogan, M. G., N. F. Vasilenko, D. I. Frolov, J. T. Freymueller, G. M. Steblov, B. W. Levin, and A. S. Prytkov. ""The mechanism of postseismic deformation triggered by the 2006â??2007 great Kuril earthquakes,"" Geophys. Res. Lett, v.38, 2011, p. L06304. doi:10.1029/2011GL046855","The mechanism of postseismic deformation triggered by the 2006-2007 great Kuril earthquakes,",Geophysical Research Letters,38(6),2011
79,5,"Levin, B.V., Razzhigaeva N.G., Ganzei K.S., Ribin A.V., Degterev A.V.,. ""Change of Landscape ctructure of Matua Island after the Saricheva Volcano Peak eruption June 12-15, 2009,"" Doklady Earth Science, v.431 par, 2010, p. 514.","Change of Landscape ctructure of Matua Island after the Saricheva Volcano Peak eruption June 12-15, 2009,",Doklady Earth Sciences,431,2010
80,5,"Lozhkin A.V., Anderson P.M., Goryachev N.A., MinÑ?uk P.S., Pakhomov A.Yu., Solomatkina T.B., and Cherepanova M.V. ""First Lake Record of Holocene Climate and Vegetation Change from the Northern Kuril Islands.,"" Doklady Academii Nauk, v.430, 2010, p. 541.","First Lake Record of Holocene Climate and Vegetation Change from the Northern Kuril Islands.,",Doklady Academii Nauk,430,2010
81,5,"Razjigaeva N.G., L.A. Ganzey, Kh.A. Arslanov, T.A. Grebennikova, N.I. Belyanina, L.M. Mokhova. ""Paleoenvironments of Kuril Islands in Late Pleistocene-Holocene: climatic changes and volcanic eruption effects.,"" Quaternary International, v.237, 2011, p. 4.","Paleoenvironments of Kuril Islands in Late Pleistocene-Holocene: climatic changes and volcanic eruption effects.,",Quaternary International,237,2011
82,5,"Anderson P.M., and Lozhkin A.V.. ""Spatial and temporal changes in Quaternary environments of Beringia (International investigations).,"" Vesnik Bulletin of the Far Eastern Branch of the Russian Academy of Sciences, v.6, 2011, p. 80.",Spatial and temporal changes in Quaternary environments of Beringia (International investigations),Vesnik Bulletin of the Far Eastern Branch of the Russian Academy of Sciences,6,2011
83,7,"Brennan, Michael, Michael, Eleanor King, Leslie Shaw, Stanley Walling and Fred Valdez. ""Preliminary Geochemical Assessment of Limestone Resources and Stone Use at Maya Sites in the Three Rivers Region, Belize,"" Journal of Archaeological Science, v.40, 2013, p. 3178.","Preliminary Geochemical Assessment of Limestone Resources and Stone Use at Maya Sites in the Three Rivers Region, Belize",Journal of Archaeological Science,40,2013
