Publication_Name,Quartile,Field,CiteScore
accounts of chemical research,Quartile 1,NS,20.1
accreditation and quality assurance,Quartile 3,NS,0.61
acdi anuario colombiano de derecho internacional,Quartile 4,Other,0.19
acg case reports journal,Quartile 2,NS,0.68
aci materials journal,Quartile 2,NS,1.79
aci structural journal,Quartile 2,NS,1.48
acm communications in computer algebra,Quartile 4,Other,0.29
acm computing surveys,Quartile 1,Other,11.21
acm inroads,Quartile 3,Other,0.52
acm journal on emerging technologies in computing systems,Quartile 2,NS,2.15
acm sigplan notices,Quartile 1,Other,2.17
acm transactions on accessible computing,Quartile 2,Other,2.57
acm transactions on algorithms,Quartile 1,Other,1.7
acm transactions on applied perception,Quartile 1,Other,1.93
acm transactions on asian and low-resource language information processing,Quartile 2,Other,1.22
acm transactions on autonomous and adaptive systems,Quartile 1,Other,2.67
acm transactions on computation theory,Quartile 3,Other,0.92
acm transactions on computational logic,Quartile 1,Other,1.47
acm transactions on computer systems,Quartile 1,Other,3.84
acm transactions on computer-human interaction,Quartile 1,Other,3.88
acm transactions on computing education,Quartile 1,Other,3.19
acm transactions on database systems,Quartile 1,Other,2.79
acm transactions on design automation of electronic systems,Quartile 3,Other,1.2
acm transactions on economics and computation,Quartile 2,EC,1.36
acm transactions on graphics,Quartile 1,Other,7.37
acm transactions on information systems,Quartile 1,EC,3.89
acm transactions on intelligent systems and technology,Quartile 1,Other,4.4
acm transactions on interactive intelligent systems,Quartile 1,Other,5.66
acm transactions on internet technology,Quartile 1,Other,3.33
acm transactions on knowledge discovery from data,Quartile 1,Other,3.82
acm transactions on management information systems,Quartile 1,EC,3.59
acm transactions on mathematical software,Quartile 1,Other,4.04
acm transactions on modeling and computer simulation,Quartile 2,Other,1.75
"acm transactions on multimedia computing, communications and applications",Quartile 1,Other,3.75
acm transactions on parallel computing,Quartile 2,Other,1.72
acm transactions on privacy and security,Quartile 2,Other,1.81
acm transactions on programming languages and systems,Quartile 3,Other,1.76
acm transactions on reconfigurable technology and systems,Quartile 2,Other,1.53
acm transactions on sensor networks,Quartile 1,Other,3.61
acm transactions on software engineering and methodology,Quartile 1,Other,3.5
acm transactions on spatial algorithms and systems,Quartile 1,Other,2.29
acm transactions on storage,Quartile 2,Other,1.81
acm transactions on the web,Quartile 2,Other,2.36
acme,Quartile 1,Other,1.83
acorn,Quartile 3,NS,0.33
acoustical physics,Quartile 3,NS,1.05
acoustical science and technology,Quartile 3,NS,0.62
acoustics australia,Quartile 3,NS,0.79
acoustics bulletin,Quartile 4,NS,0
acrn journal of finance and risk perspectives,Quartile 4,EC,0.14
acrocephalus,Quartile 4,NS,0.12
across languages and cultures,Quartile 1,Other,1.58
acs applied materials & interfaces,Quartile 1,NS,8.69
acs biomaterials science and engineering,Quartile 1,NS,4.46
acs catalysis,Quartile 1,NS,12.34
acs central science,Quartile 1,NS,8
acs chemical biology,Quartile 1,NS,4.45
acs chemical neuroscience,Quartile 1,NS,3.67
acs combinatorial science,Quartile 1,NS,3.11
acs earth and space chemistry,Quartile 2,NS,2.14
acs energy letters,Quartile 1,NS,13.92
acs infectious diseases,Quartile 1,NS,4.72
acs macro letters,Quartile 1,NS,5.82
acs medicinal chemistry letters,Quartile 1,NS,3.51
acs nano,Quartile 1,NS,14.29
acs omega,Quartile 1,NS,2.54
acs photonics,Quartile 1,NS,7.57
acs sensors,Quartile 1,NS,6.5
acs sustainable chemistry and engineering,Quartile 1,NS,7.09
acs symposium series,Quartile 3,NS,0.51
acs synthetic biology,Quartile 1,NS,5.72
acsm's health and fitness journal,Quartile 3,NS,0.41
acta academiae medicinae sinicae,Quartile 3,NS,0.24
acta academica,Quartile 1,Other,0.37
acta acustica united with acustica,Quartile 1,Other,1.15
acta adriatica,Quartile 3,NS,0.75
acta agriculturae scandinavica - section a: animal science,Quartile 3,NS,0.71
acta agriculturae scandinavica - section b soil and plant science,Quartile 2,NS,0.97
acta agriculturae slovenica,Quartile 3,NS,0.49
acta agrobotanica,Quartile 3,NS,0.51
acta agronomica,Quartile 4,NS,0.31
acta agronomica sinica(china),Quartile 3,NS,0.51
acta alimentaria,Quartile 3,NS,0.56
acta amazonica,Quartile 2,NS,1.27
acta anaesthesiologica belgica,Quartile 3,NS,0.35
acta anaesthesiologica scandinavica,Quartile 2,NS,1.85
acta analytica,Quartile 2,Other,0.35
acta anatomica sinica,Quartile 4,NS,0.03
acta angiologica,Quartile 4,NS,0.18
acta antiqua academiae scientiarum hungaricae,Quartile 4,Other,0.01
acta applicandae mathematicae,Quartile 2,Other,1.15
acta arachnologica,Quartile 4,NS,0.45
acta archaeologica,Quartile 3,Other,0.11
acta archaeologica academiae scientiarum hungaricae,Quartile 2,Other,0.33
acta archaeologica lodziensia,Quartile 3,Other,0.04
acta arithmetica,Quartile 3,Other,0.49
acta astronautica,Quartile 1,NS,2.99
acta astronomica,Quartile 2,NS,3.39
acta baltica historiae et philosophiae scientiarum,Quartile 2,Other,0.33
acta baltico-slavica,Quartile 3,Other,0.09
acta biochimica et biophysica sinica,Quartile 2,NS,2.15
acta biochimica polonica,Quartile 2,NS,1.68
acta bioethica,Quartile 4,NS,0.16
acta biologica colombiana,Quartile 3,NS,0.61
acta biologica cracoviensia series botanica,Quartile 2,NS,1.44
acta biologica hungarica,Quartile 3,NS,0.86
acta biologica szegediensis,Quartile 2,NS,0.85
acta biomaterialia,Quartile 1,NS,6.72
acta biomedica de l'ateneo parmense,Quartile 2,NS,0.78
acta biotheoretica,Quartile 1,Other,0.9
acta borealia,Quartile 1,Other,0.96
acta botanica brasilica,Quartile 2,NS,1.22
acta botanica croatica,Quartile 2,NS,1.18
acta botanica hungarica,Quartile 3,NS,0.72
acta botanica mexicana,Quartile 3,NS,0.6
acta botanica venezuelica,Quartile 4,NS,0
acta cardiologica,Quartile 3,NS,0.71
acta cardiologica sinica,Quartile 3,NS,1.24
acta carsologica,Quartile 2,NS,0.96
acta chimica sinica,Quartile 2,NS,2.13
acta chimica slovenica,Quartile 3,NS,1.01
acta chiropterologica,Quartile 2,NS,1.47
acta chirurgiae orthopaedicae et traumatologiae cechoslovaca,Quartile 3,NS,0.48
acta chirurgiae plasticae,Quartile 4,NS,0.26
acta chirurgica belgica,Quartile 3,NS,0.5
acta chromatographica,Quartile 3,NS,0.69
acta cirurgica brasileira,Quartile 3,NS,1.05
acta classica,Quartile 4,Other,0
acta clinica belgica,Quartile 2,NS,0.69
acta clinica croatica,Quartile 2,NS,0.49
acta colombiana de psicologia,Quartile 4,Other,0.32
acta conventus neo-latini,Quartile 2,Other,0.14
acta crystallographica section a: foundations and advances,Quartile 1,NS,19.44
"acta crystallographica section b: structural science, crystal engineering and materials",Quartile 1,NS,5.03
acta crystallographica section d: structural biology,Quartile 2,NS,2.9
acta crystallographica section e: crystallographic communications,Quartile 4,NS,0.34
acta crystallographica section f:structural biology communications,Quartile 3,NS,1.1
"acta crystallographica. section c, structural chemistry",Quartile 1,NS,3.83
acta cybernetica,Quartile 4,Other,0.37
acta cytologica,Quartile 2,NS,1.61
acta dermato-venereologica,Quartile 1,NS,2
"acta dermatovenerologica alpina, panonica et adriatica",Quartile 3,NS,0.94
acta dermatovenerologica croatica,Quartile 3,NS,0.71
acta diabetologica,Quartile 1,NS,2.86
acta ecologica sinica,Quartile 3,NS,0.7
acta endocrinology,Quartile 4,NS,0.37
acta entomologica musei nationalis pragae,Quartile 3,NS,0.53
acta et commentationes universitatis tartuensis de mathematica,Quartile 4,Other,0.13
acta ethnographica hungarica,Quartile 3,Other,0.09
acta ethologica,Quartile 2,NS,1.39
acta facultatis medicae naissensis,Quartile 3,NS,0.33
acta facultatis xylologiae,Quartile 2,NS,1.01
acta gastro-enterologica belgica,Quartile 4,NS,0.39
acta gastroenterologica latinoamericana,Quartile 4,NS,0.16
acta geochimica,Quartile 3,NS,1.1
acta geodaetica et cartographica sinica,Quartile 2,NS,0.96
acta geodaetica et geophysica,Quartile 2,NS,1.06
acta geodynamica et geomaterialia,Quartile 2,NS,1.28
acta geographica sinica,Quartile 2,NS,1.52
acta geographica slovenica,Quartile 3,NS,0.8
acta geologica polonica,Quartile 2,NS,1.35
acta geologica sinica,Quartile 3,NS,0.93
acta geologica slovaca,Quartile 2,NS,1.02
acta geophysica,Quartile 3,NS,1.03
acta geophysica sinica,Quartile 3,NS,1.14
acta geoscientica sinica,Quartile 3,NS,0.84
acta geotechnica,Quartile 1,NS,3.82
acta geotechnica slovenica,Quartile 4,NS,0.37
acta gymnica,Quartile 3,NS,0.74
acta haematologica,Quartile 3,NS,1.12
acta haematologica polonica,Quartile 4,NS,0.17
acta hepatologica japonica,Quartile 4,NS,0.14
acta herpetologica,Quartile 3,NS,0.83
acta histochemica,Quartile 3,NS,1.61
acta histochemica et cytochemica,Quartile 3,NS,0.94
acta historiae artis slovenica,Quartile 2,Other,0.16
acta historica tallinnensia,Quartile 3,Other,0.12
acta histriae,Quartile 1,Other,0.79
acta horticulturae,Quartile 4,NS,0.25
acta horticulturae sinica,Quartile 2,Other,0.62
acta ichthyologica et piscatoria,Quartile 3,NS,0.89
acta imeko,Quartile 3,NS,0.82
acta informatica,Quartile 2,Other,1.79
acta informatica medica,Quartile 2,NS,0.85
acta koreana,Quartile 2,Other,0.18
acta limnologica brasiliensia,Quartile 3,NS,0.83
acta linguistica academica,Quartile 1,Other,0.2
acta linguistica hafniensia,Quartile 2,Other,0.28
acta literaria,Quartile 2,Other,0.09
acta materialia,Quartile 1,NS,7.77
acta mathematica,Quartile 1,Other,3
acta mathematica academiae paedagogicae nyiregyhaziensis,Quartile 4,Other,0.06
acta mathematica hungarica,Quartile 2,Other,0.67
acta mathematica scientia,Quartile 2,Other,0.92
"acta mathematica sinica, chinese series",Quartile 4,Other,0.16
"acta mathematica sinica, english series",Quartile 3,Other,0.6
acta mathematica universitatis comenianae,Quartile 3,Other,0.6
acta mathematica vietnamica,Quartile 3,Other,0.46
acta mathematicae applicatae sinica,Quartile 4,Other,0.35
acta mechanica,Quartile 1,NS,2.28
acta mechanica et automatica,Quartile 3,NS,0.77
acta mechanica sinica/lixue xuebao,Quartile 2,NS,1.91
acta mechanica solida sinica,Quartile 2,NS,1.68
acta medica (hradec kralove),Quartile 2,NS,0.67
acta medica academica,Quartile 3,NS,0.44
acta medica bulgarica,Quartile 3,NS,0.37
acta medica indonesiana,Quartile 2,NS,0.69
acta medica iranica,Quartile 2,NS,0.91
acta medica mediterranea,Quartile 1,NS,1.09
acta medica okayama,Quartile 3,NS,0.73
acta medica philippina,Quartile 4,NS,0.06
acta medica portuguesa,Quartile 2,NS,0.57
acta medica saliniana,Quartile 4,NS,0
acta metallurgica sinica (english letters),Quartile 1,NS,1.95
acta metallurgica slovaca,Quartile 3,NS,0.63
acta microbiologica et immunologica hungarica,Quartile 4,NS,0.97
acta microbiologica hellenica,Quartile 4,NS,0.02
acta microscopica,Quartile 4,NS,0.31
acta montanistica slovaca,Quartile 2,NS,1.35
acta musicologica,Quartile 2,Other,0.16
acta mycologica,Quartile 4,NS,0.46
acta myologica,Quartile 2,NS,1.39
acta naturae,Quartile 2,NS,1.95
acta neophilologica,Quartile 3,Other,0.09
acta neurobiologiae experimentalis,Quartile 3,NS,1.74
acta neurochirurgica,Quartile 2,NS,1.63
"acta neurochirurgica, supplement",Quartile 3,NS,1.03
acta neurologica belgica,Quartile 3,NS,0.78
acta neurologica scandinavica,Quartile 2,NS,2.61
acta neurologica taiwanica,Quartile 4,NS,0.4
acta neuropathologica,Quartile 1,NS,13.8
acta neuropathologica communications,Quartile 1,NS,5.76
acta neuropsychiatrica,Quartile 2,NS,2.09
acta neuropsychologica,Quartile 4,Other,0.42
acta numerica,Quartile 1,Other,13.38
acta obstetricia et gynecologica scandinavica,Quartile 2,NS,2.21
acta oceanologica sinica,Quartile 3,NS,0.85
acta odontologica scandinavica,Quartile 1,Other,1.71
acta oecologica,Quartile 2,NS,1.69
acta oeconomica,Quartile 3,EC,0.71
acta of bioengineering and biomechanics,Quartile 3,NS,1.22
acta oncologica,Quartile 1,NS,2.78
acta onomastica,Quartile 3,Other,0.16
acta ophthalmologica,Quartile 1,NS,2.22
acta orientalia,Quartile 2,Other,0.13
acta ornithologica,Quartile 2,NS,1.45
acta orthopaedica,Quartile 1,NS,3.18
acta orthopaedica belgica,Quartile 3,NS,0.72
acta orthopaedica et traumatologica turcica,Quartile 3,NS,0.82
acta ortopedica brasileira,Quartile 3,NS,0.78
acta oto-laryngologica,Quartile 2,NS,1.22
acta otorhinolaryngologica italica,Quartile 2,NS,1.57
acta otorrinolaringologica espanola,Quartile 3,NS,0.58
"acta paediatrica, international journal of paediatrics",Quartile 1,NS,2.09
acta palaeobotanica,Quartile 2,NS,1.16
acta palaeontologica polonica,Quartile 1,NS,1.78
acta parasitologica,Quartile 4,NS,1
acta paulista de enfermagem,Quartile 2,NS,0.62
acta pediatrica de mexico,Quartile 4,NS,0.12
acta pediatrica espanola,Quartile 4,NS,0.16
acta periodica technologica,Quartile 4,NS,0.24
acta petrologica sinica,Quartile 2,NS,1.77
acta pharmaceutica,Quartile 2,NS,1.47
acta pharmaceutica sciencia,Quartile 4,NS,0.21
acta pharmaceutica sinica b,Quartile 1,NS,6.88
acta pharmacologica sinica,Quartile 1,NS,3.89
acta philosophica,Quartile 3,Other,0.08
acta phlebologica,Quartile 4,NS,0.26
acta physica polonica a,Quartile 3,NS,0.63
acta physica polonica b,Quartile 3,NS,0.58
"acta physica polonica b, proceedings supplement",Quartile 4,NS,0.35
acta physica slovaca,Quartile 2,NS,2
acta physiologiae plantarum,Quartile 1,NS,1.94
acta physiologica,Quartile 1,NS,3.4
acta physiologica sinica,Quartile 2,NS,0.46
acta phytopathologica et entomologica hungarica,Quartile 4,NS,0.31
acta poetica,Quartile 4,Other,0
acta politica,Quartile 1,Other,1.26
acta politologica,Quartile 3,Other,0.57
acta poloniae historica,Quartile 3,Other,0.09
acta poloniae pharmaceutica,Quartile 3,NS,0.55
acta polymerica sinica,Quartile 3,NS,0.87
acta polytechnica,Quartile 3,NS,0.63
acta polytechnica hungarica,Quartile 2,NS,1.4
acta prataculturae sinica,Quartile 3,NS,0.46
acta protozoologica,Quartile 2,NS,0.84
acta psychiatrica scandinavica,Quartile 1,NS,3.61
acta psychologica,Quartile 2,Other,1.93
acta radiologica,Quartile 2,NS,1.59
acta reumatologica portuguesa,Quartile 4,NS,0.65
acta scientiae veterinariae,Quartile 3,NS,0.42
acta scientiarum - agronomy,Quartile 2,NS,0.99
acta scientiarum - animal sciences,Quartile 3,NS,0.58
acta scientiarum - biological sciences,Quartile 3,NS,0.44
acta scientiarum - health sciences,Quartile 4,NS,0.19
acta scientiarum - technology,Quartile 3,NS,0.47
acta scientiarum language and culture,Quartile 3,Other,0.03
acta scientiarum mathematicarum,Quartile 4,Other,0.55
"acta scientiarum polonorum, hortorum cultus",Quartile 3,NS,0.62
"acta scientiarum polonorum, technologia alimentaria",Quartile 3,NS,1.18
acta seismologica sinica,Quartile 4,NS,0.3
acta silvatica et lignaria hungarica,Quartile 3,NS,0.4
acta societatis botanicorum poloniae,Quartile 3,NS,0.95
acta sociologica,Quartile 1,Other,1.9
acta stomatologica croatica,Quartile 3,Other,0.67
acta stomatologica naissi,Quartile 4,Other,0.13
acta tabacaria sinica,Quartile 4,NS,0.29
acta technologica agriculturae,Quartile 2,NS,0.98
acta theologica,Quartile 2,Other,0.13
acta theriologica sinica,Quartile 3,NS,0.51
acta tropica,Quartile 1,NS,2.68
acta universitatis agriculturae et silviculturae mendelianae brunensis,Quartile 3,NS,0.41
"acta universitatis carolinae, geographica",Quartile 3,NS,0.47
"acta universitatis sapientiae, mathematica",Quartile 3,Other,0.63
"acta universitatis sapientiae, philologica",Quartile 4,Other,0
acta urologica japonica,Quartile 4,NS,0.13
acta veterinaria,Quartile 2,NS,0.71
acta veterinaria brasilica,Quartile 4,NS,0.17
acta veterinaria brno,Quartile 3,NS,0.57
acta veterinaria hungarica,Quartile 2,NS,1.17
acta veterinaria scandinavica,Quartile 1,NS,1.58
acta virologica,Quartile 4,NS,0.67
acta zoologica,Quartile 2,NS,1.1
acta zoologica academiae scientiarum hungaricae,Quartile 3,NS,0.79
acta zoologica bulgarica,Quartile 4,NS,0.41
actas dermo-sifiliograficas,Quartile 3,NS,0.51
actas espanolas de psiquiatria,Quartile 3,NS,0.82
actas urologicas espanolas,Quartile 3,NS,0.8
actes de la recherche en sciences sociales,Quartile 2,Other,0.56
action in teacher education,Quartile 3,Other,0.65
action learning: research and practice,Quartile 3,EC,0.32
action research,Quartile 2,Other,1.15
active and passive electronic components,Quartile 3,NS,0.55
active learning in higher education,Quartile 1,Other,3.19
activitas nervosa superior,Quartile 4,NS,0.41
activitas nervosa superior rediviva,Quartile 4,NS,0.14
"activities, adaptation and aging",Quartile 3,NS,0.93
actual problems of theory and history of art,Quartile 3,Other,0.07
actualite chimique,Quartile 4,NS,0.08
actualites pharmaceutiques,Quartile 4,NS,0.05
actualizaciones en osteologia,Quartile 4,NS,0.07
actuators,Quartile 1,Other,2.8
actuel marx,Quartile 3,Other,0.12
acupuncture and electro-therapeutics research,Quartile 3,NS,0.55
acupuncture in medicine,Quartile 2,NS,1.39
acute cardiac care,Quartile 3,NS,0.41
acute medicine,Quartile 3,NS,0.33
ad hoc networks,Quartile 1,Other,4.52
ada user journal,Quartile 4,Other,0.13
adamantius,Quartile 4,Other,0.05
adansonia,Quartile 3,NS,0.73
adaptation,Quartile 1,Other,0.46
"adaptation, learning, and optimization",Quartile 2,Other,1.53
adapted physical activity quarterly,Quartile 2,NS,1.58
adaptive behavior,Quartile 3,Other,1.49
adaptive human behavior and physiology,Quartile 2,Other,2.07
addiction,Quartile 1,NS,3.64
addiction biology,Quartile 1,NS,4.24
addiction research and theory,Quartile 2,NS,2.38
addiction science & clinical practice,Quartile 1,NS,2.91
addictive behaviors,Quartile 1,Other,3.38
addictive behaviors reports,Quartile 1,NS,2.69
addictive disorders and their treatment,Quartile 3,NS,0.84
additive manufacturing,Quartile 1,NS,9.62
adhaesion kleben und dichten,Quartile 4,NS,0.02
adhd attention deficit and hyperactivity disorders,Quartile 1,Other,2.35
ad-hoc and sensor wireless networks,Quartile 2,Other,1.07
adicciones,Quartile 2,NS,2.04
adiktologie,Quartile 4,NS,0.13
adipocyte,Quartile 2,NS,2.44
admet and dmpk,Quartile 3,NS,1.04
administratie si management public,Quartile 1,Other,4.02
administration,Quartile 3,Other,0.38
administration and policy in mental health and mental health services research,Quartile 1,NS,3.35
administration and society,Quartile 1,Other,2.37
administrative science quarterly,Quartile 1,Other,8.42
adolescencia e saude,Quartile 4,NS,0.09
adoption & fostering,Quartile 3,Other,0.51
adoption quarterly,Quartile 2,Other,0.88
adsorption,Quartile 2,NS,1.98
adsorption science and technology,Quartile 3,NS,1
adult education quarterly,Quartile 1,Other,1.65
adultspan journal,Quartile 4,Other,0.39
advanced composite materials,Quartile 2,NS,1.56
advanced composites letters,Quartile 3,NS,0.62
advanced drug delivery reviews,Quartile 1,NS,13.9
advanced electromagnetics,Quartile 3,NS,0.61
advanced electronic materials,Quartile 1,NS,5.49
advanced emergency nursing journal,Quartile 2,NS,0.68
advanced energy materials,Quartile 1,NS,21.49
advanced engineering informatics,Quartile 1,Other,5.72
advanced engineering materials,Quartile 1,NS,2.85
advanced functional materials,Quartile 1,NS,14.58
advanced healthcare materials,Quartile 1,NS,5.97
advanced information and knowledge processing,Quartile 4,EC,0.05
advanced manufacturing: polymer and composites science,Quartile 2,EC,2.02
advanced materials,Quartile 1,NS,23.77
advanced materials and processes,Quartile 4,NS,0.24
advanced materials interfaces,Quartile 1,NS,4.38
advanced materials technologies,Quartile 1,NS,5.22
advanced modeling and simulation in engineering sciences,Quartile 1,Other,1.89
advanced nonlinear studies,Quartile 1,Other,1.49
advanced optical materials,Quartile 1,NS,7.36
advanced optical technologies,Quartile 2,NS,1.42
advanced pharmaceutical bulletin,Quartile 1,NS,2.57
advanced powder technology,Quartile 1,NS,3.57
advanced robotics,Quartile 2,Other,1.6
advanced science,Quartile 1,NS,13.6
advanced series in management,Quartile 4,EC,0.17
advanced series on directions in high energy physics,Quartile 4,NS,0
advanced series on ocean engineering,Quartile 4,NS,0
advanced steel construction,Quartile 2,NS,1.44
advanced structured materials,Quartile 3,NS,0.56
advanced studies in contemporary mathematics (kyungshang),Quartile 3,Other,0.47
advanced synthesis and catalysis,Quartile 1,NS,5.2
advanced textbooks in control and signal processing,Quartile 4,NS,0.06
advanced topics in science and technology in china,Quartile 4,NS,0.06
advances and applications in bioinformatics and chemistry,Quartile 1,NS,5.31
advances in accounting,Quartile 2,EC,1.19
advances in accounting behavioral research,Quartile 4,EC,0.33
advances in accounting education: teaching and curriculum innovations,Quartile 3,EC,0.4
advances in acoustics and vibration,Quartile 3,NS,0.6
advances in agronomy,Quartile 1,NS,4.75
advances in aircraft and spacecraft science,Quartile 3,NS,0.63
advances in alzheimer's disease,Quartile 4,NS,0.03
advances in anatomic pathology,Quartile 1,NS,3.29
advances in anatomy embryology and cell biology,Quartile 2,NS,1.97
advances in anesthesia,Quartile 3,NS,0.41
advances in animal and veterinary sciences,Quartile 4,NS,0.26
advances in applied ceramics,Quartile 2,NS,1.58
advances in applied clifford algebras,Quartile 3,Other,0.9
advances in applied mathematics,Quartile 3,Other,0.93
advances in applied mathematics and mechanics,Quartile 3,Other,0.83
advances in applied mechanics,Quartile 1,NS,5.22
advances in applied microbiology,Quartile 1,NS,5.34
advances in applied probability,Quartile 2,Other,0.95
advances in asian human-environmental research,Quartile 4,Other,0.17
advances in astronomy,Quartile 3,NS,1.25
advances in atmospheric sciences,Quartile 2,NS,1.99
"advances in atomic, molecular and optical physics",Quartile 1,NS,3.22
advances in austrian economics,Quartile 3,EC,0.5
advances in autism,Quartile 3,NS,0.53
advances in biochemical engineering/biotechnology,Quartile 2,NS,2.74
advances in bioinformatics,Quartile 2,NS,2.47
advances in biological regulation,Quartile 1,NS,7.06
advances in biomembranes and lipid self-assembly,Quartile 4,NS,0.74
advances in botanical research,Quartile 2,NS,2.12
advances in building energy research,Quartile 2,NS,1.63
advances in business marketing and purchasing,Quartile 3,EC,0.56
advances in calculus of variations,Quartile 1,Other,1.77
advances in cancer research,Quartile 1,NS,5.34
advances in carbohydrate chemistry and biochemistry,Quartile 2,NS,2.64
advances in catalysis,Quartile 1,NS,4.46
advances in cement research,Quartile 2,NS,1.41
advances in chemical engineering,Quartile 3,NS,1.17
advances in child development and behavior,Quartile 2,Other,1.55
advances in chromatography,Quartile 4,NS,0.91
advances in chronic kidney disease,Quartile 1,NS,2.44
advances in civil engineering,Quartile 3,NS,1.16
advances in civil engineering materials,Quartile 2,NS,0.98
advances in climate change research,Quartile 1,NS,2.51
advances in clinical and experimental medicine,Quartile 3,NS,1.43
advances in clinical chemistry,Quartile 1,NS,3.61
advances in cognitive psychology,Quartile 2,Other,1.41
advances in colloid and interface science,Quartile 1,NS,8.08
advances in complex systems,Quartile 3,NS,0.8
advances in computational design,Quartile 3,Other,0.77
advances in computational mathematics,Quartile 2,Other,1.64
advances in computer vision and pattern recognition,Quartile 3,Other,0.85
advances in computers,Quartile 2,Other,1.54
advances in concrete construction,Quartile 2,NS,1.41
advances in condensed matter physics,Quartile 3,NS,1.01
"advances in culture, tourism and hospitality research",Quartile 4,EC,0.16
advances in data analysis and classification,Quartile 1,Other,1.78
advances in decision sciences,Quartile 3,Other,0.76
advances in dental research,Quartile 1,NS,7.75
advances in developing human resources,Quartile 3,EC,0.99
advances in difference equations,Quartile 1,Other,1.55
advances in differential equations,Quartile 2,Other,1.28
advances in dual diagnosis,Quartile 2,NS,0.76
advances in ecological research,Quartile 1,NS,5.12
advances in econometrics,Quartile 3,EC,0.94
"advances in education in diverse communities: research, policy and praxis",Quartile 4,Other,0.14
advances in educational administration,Quartile 4,Other,0.15
advances in electrical and computer engineering,Quartile 3,NS,0.86
advances in electrical and electronic engineering,Quartile 3,NS,0.95
advances in engineering education,Quartile 1,Other,1.78
advances in engineering software,Quartile 1,NS,4.93
"advances in entrepreneurship, firm emergence and growth",Quartile 2,EC,0.81
advances in environmental accounting and management,Quartile 4,EC,0.29
advances in experimental medicine and biology,Quartile 2,NS,1.71
advances in experimental social psychology,Quartile 1,Other,8.1
advances in financial economics,Quartile 4,EC,0.07
